=== CHAMPIONS BY YEAR ===
Year,Champion,Second Place,Third Place
2024,"Division 1",5,"Le'Voen a prayer",12,2,0,.857
2024,"Division 1",6,"Turn Down For Watt",9,5,0,.643
2024,"Division 1",7,"flaccoroni and cheese",8,6,0,.571
2024,"Division 1",8,"The King of Fantasy",8,6,0,.571
2024,"Division 1",9,"da winning team",8,6,0,.571
2024,"Division 1",10,"Vick's houndogs",7,7,0,.500
2023,"Division 1",1,"The Elites",2,12,0,.143
2023,"Division 1",1,"The King of Fantasy",6,8,0,.429
2023,"Division 1",1,"SCHMIDTY DUCK",5,9,0,.357
2023,"Division 1",1,"flaccoroni and cheese",5,9,0,.357
2023,"Division 1",5,"Turn Down For Watt",10,4,0,.714
2023,"Division 1",6,"da winning team",9,5,0,.643
2023,"Division 1",7,"Le'Voen a prayer",9,5,0,.643
2023,"Division 1",8,"Go Kart Mozart",9,5,0,.643
2023,"Division 1",9,"Vick's houndogs",8,6,0,.571
2023,"Division 1",10,"The Highlanders",7,7,0,.500
2022,"Division 1",1,"The Elites",2,12,0,.143
2022,"Division 1",1,"The Highlanders",6,8,0,.429
2022,"Division 1",1,"flaccoroni and cheese",4,10,0,.286
2022,"Division 1",1,"Le'Voen a prayer",7,7,0,.500
2022,"Division 1",5,"Go Kart Mozart",11,3,0,.786
2022,"Division 1",6,"SCHMIDTY DUCK",10,4,0,.714
2022,"Division 1",7,"da winning team",8,6,0,.571
2022,"Division 1",8,"Turn Down For Watt",8,6,0,.571
2022,"Division 1",9,"The King of Fantasy",7,7,0,.500
2022,"Division 1",10,"Vick's houndogs",7,7,0,.500
2021,"Division 1",1,"the miracle workers",6,8,0,.429
2021,"Division 1",1,"The 2002 Miami Hurricanes",7,7,0,.500
2021,"Division 1",1,"Rolling With Mahomies",3,11,0,.214
2021,"Division 1",1,"Beats by Ray",3,11,0,.214
2021,"Division 1",5,"The Elites",10,4,0,.714
2021,"Division 1",6,"Le'Voen a prayer",10,4,0,.714
2021,"Division 1",7,"Vick's houndogs",9,5,0,.643
2021,"Division 1",8,"flaccoroni and cheese",8,6,0,.571
2021,"Division 1",9,"Turn Down For Watt",7,7,0,.500
2021,"Division 1",10,"da winning team",7,7,0,.500
2020,"Division 1",1,"Turn Down For Watt",4,9,0,.308
2020,"Division 1",1,"Beats by Ray",4,9,0,.308
2020,"Division 1",1,"flaccoroni and cheese",4,9,0,.308
2020,"Division 1",1,"Vick's houndogs",3,10,0,.231
2020,"Division 1",5,"Le'Voen a prayer",13,0,0,1.000
2020,"Division 1",6,"Rolling With Mahomies",9,4,0,.692
2020,"Division 1",7,"Go Kart Mozart",8,5,0,.615
2020,"Division 1",8,"da winning team",7,6,0,.538
2020,"Division 1",9,"The Elites",7,6,0,.538
2020,"Division 1",10,"the miracle workers",6,7,0,.462
2019,"Division 1",1,"Goff Balls",3,10,0,.231
2019,"Division 1",1,"Go Kart Mozart",7,6,0,.538
2019,"Division 1",1,"Dak to the future",3,10,0,.231
2019,"Division 1",1,"Beats by Ray",4,9,0,.308
2019,"Division 1",5,"da winning team",9,4,0,.692
2019,"Division 1",6,"flaccoroni and cheese",8,5,0,.615
2019,"Division 1",7,"Le'Voen a prayer",8,5,0,.615
2019,"Division 1",8,"Vick's houndogs",8,5,0,.615
2019,"Division 1",9,"The Elites",8,5,0,.615
2019,"Division 1",10,"the miracle workers",7,6,0,.538
2018,"Division 1",1,"The Elites",3,10,0,.231
2018,"Division 1",1,"Turn Down For Watt",5,8,0,.385
2018,"Division 1",1,"Vick's houndogs",4,9,0,.308
2018,"Division 1",1,"Le'Voen a prayer",6,7,0,.462
2018,"Division 1",5,"The Highlanders",10,3,0,.769
2018,"Division 1",6,"Beats by Ray",8,5,0,.615
2018,"Division 1",7,"flaccoroni and cheese",8,5,0,.615
2018,"Division 1",8,"the miracle workers",7,6,0,.538
2018,"Division 1",9,"da winning team",7,6,0,.538
2018,"Division 1",10,"Go Kart Mozart",7,6,0,.538
2017,"Division 1",1,"28-3",6,7,0,.462
2017,"Division 1",1,"Why Me",4,9,0,.308
2017,"Division 1",1,"The Highlanders",3,10,0,.231
2017,"Division 1",1,"Vick's houndogs",5,8,0,.385
2017,"Division 1",1,"UNLEASH THE BEASLEY",4,9,0,.308
2017,"Division 1",1,"Hernandez' Hitmen",4,9,0,.308
2017,"Division 1",7,"Le'Voen a prayer",11,2,0,.846
2017,"Division 1",8,"The Elites",9,4,0,.692
2017,"Division 1",9,"da winning team",9,4,0,.692
2017,"Division 1",10,"Turn Down For Watt",8,5,0,.615
2017,"Division 1",11,"Beats by Ray",8,5,0,.615
2017,"Division 1",12,"flaccoroni and cheese",7,6,0,.538
2016,"Division 1",1,"Injuries Suck",2,11,0,.154
2016,"Division 1",1,"The Highlanders",6,7,0,.462
2016,"Division 1",1,"Beats by Ray",6,7,0,.462
2016,"Division 1",1,"flaccoroni and cheese",4,9,0,.308
2016,"Division 1",1,"UNLEASH THE BEASLEY",6,7,0,.462
2016,"Division 1",1,"Hernandez' Hitmen",6,7,0,.462
2016,"Division 1",7,"Vick's houndogs",9,4,0,.692
2016,"Division 1",8,"THE KING OF FANTASY",8,5,0,.615
2016,"Division 1",9,"The Elites",8,5,0,.615
2016,"Division 1",10,"Turn Down For Watt",8,5,0,.615
2016,"Division 1",11,"Le'Voen a prayer",8,5,0,.615
2016,"Division 1",12,"da winning team",7,6,0,.538
2015,"Division 1",1,"The Elites",8,5,0,.615
2015,"Division 1",1,"GO CART MOZART",0,13,0,.000
2015,"Division 1",1,"The Highlanders",7,6,0,.538
2015,"Division 1",1,"flaccoroni and cheese",8,5,0,.615
2015,"Division 1",1,"HIGHLIGHT REEL",5,8,0,.385
2015,"Division 1",1,"LeGarrette ON MY LEVEL",4,9,0,.308
2015,"Division 1",1,"coles untouchables",6,7,0,.462
2015,"Division 1",1,"2legit2quit",3,10,0,.231
2015,"Division 1",9,"Turn Down For Watt",10,3,0,.769
2015,"Division 1",10,"Beats by Ray",8,5,0,.615
2015,"Division 1",11,"THE KING OF FANTASY",8,5,0,.615
2015,"Division 1",12,"Le'Voen a prayer",8,5,0,.615
2015,"Division 1",13,"Geno's Jawdroppers",8,5,0,.615
2015,"Division 1",14,"da winning team",8,5,0,.615
2014,"Division 1",1,"THE KING OF FANTASY",4,9,0,.308
2014,"Division 1",1,"swaggy mc swag",5,8,0,.385
2014,"Division 1",1,"SCHMIDTY DUCK",2,11,0,.154
2014,"Division 1",1,"CAMBRIDGE BOY",2,11,0,.154
2014,"Division 1",1,"The fast and the Julio",5,8,0,.385
2014,"Division 1",1,"Coles untouchables",2,11,0,.154
2014,"Division 1",7,"The Highlanders",12,1,0,.923
2014,"Division 1",8,"Turn Down For Watt",12,1,0,.923
2014,"Division 1",9,"The Elites",11,2,0,.846
2014,"Division 1",10,"Flaccoroni and cheese",9,4,0,.692
2014,"Division 1",11,"THE SURF BROS",7,6,0,.538
2014,"Division 1",12,"BULLDOGS",7,6,0,.538
2013,"Division 1",1,"Coles 2nd Team",3,10,0,.231
2013,"Division 1",1,"Stop Look and Lose",4,9,0,.308
2013,"Division 1",3,"THE KING OF FANTASY",10,3,0,.769
2013,"Division 1",4,"THE GUY WHO PICKED UP FOSTER",9,4,0,.692
2013,"Division 1",5,"The Highlanders",7,6,0,.538
2013,"Division 2",1,"swaggy mc swag",3,10,0,.231
2013,"Division 2",1,"I'mGonnaWhipMichael",4,9,0,.308
2013,"Division 2",3,"SCHMIDTY DUCK",10,3,0,.769
2013,"Division 2",4,"The Elites",8,5,0,.615
2013,"Division 2",5,"THE BIG MAN ON CAMPUS",7,6,0,.538
2012,"Division 1",1,"THE KING OF FANTASY",10,3,0,.769
2012,"Division 1",2,"Milton Mustangs",10,3,0,.769
2012,"Division 1",3,"Vipers",6,7,0,.462
2012,"Division 1",4,"The Christian Wolverines",5,8,0,.385
2012,"Division 1",5,"coles untouchables",5,8,0,.385
2012,"Division 1",6,"THE FIGHTING IRISH",3,10,0,.231

=== OVERALL RECORDS (aggregated across all seasons) ===
Team,Seasons,Total W,Total L,Total T,Win PCT,Championships,Runner-ups,Third Place
"Le'Voen a prayer",11,101,47,0,0.682,4,2,3
"Turn Down For Watt",11,88,60,0,0.595,1,1,1
"da winning team",11,85,63,0,0.574,3,0,0
"The Elites",13,94,80,0,0.540,1,3,0
"The King of Fantasy",9,66,55,0,0.545,1,1,0
"Go Kart Mozart",7,51,44,0,0.537,0,0,1
"Milton Mustangs",1,10,3,0,0.769,0,0,1
"THE GUY WHO PICKED UP FOSTER",1,9,4,0,0.692,0,0,1
"Geno's Jawdroppers",1,8,5,0,0.615,0,0,0
"THE SURF BROS",1,7,6,0,0.538,0,0,1
"BULLDOGS",1,7,6,0,0.538,0,0,0
"THE BIG MAN ON CAMPUS",1,7,6,0,0.538,0,0,0
"The Highlanders",10,67,67,0,0.500,2,0,0
"SCHMIDTY DUCK",6,41,41,0,0.500,2,1,0
"The 2002 Miami Hurricanes",1,7,7,0,0.500,0,0,0
"the miracle workers",4,26,27,0,0.491,0,0,1
"28-3",1,6,7,0,0.462,0,0,0
"Vipers",1,6,7,0,0.462,0,0,0
"flaccoroni and cheese",12,79,82,0,0.491,0,2,2
"Rolling With Mahomies",2,12,15,0,0.444,0,1,0
"HIGHLIGHT REEL",1,5,8,0,0.385,0,0,0
"The fast and the Julio",1,5,8,0,0.385,0,0,0
"The Christian Wolverines",1,5,8,0,0.385,0,0,0
"Vick's houndogs",10,65,70,0,0.481,0,1,2
"Why Me",1,4,9,0,0.308,0,0,0
"LeGarrette ON MY LEVEL",1,4,9,0,0.308,0,0,0
"Stop Look and Lose",1,4,9,0,0.308,0,1,0
"I'mGonnaWhipMichael",1,4,9,0,0.308,0,0,0
"UNLEASH THE BEASLEY",2,10,16,0,0.385,0,0,0
"Hernandez' Hitmen",2,10,16,0,0.385,0,0,0
"Goff Balls",1,3,10,0,0.231,0,0,0
"Dak to the future",1,3,10,0,0.231,0,0,0
"2legit2quit",1,3,10,0,0.231,0,0,0
"Coles 2nd Team",1,3,10,0,0.231,0,0,0
"THE FIGHTING IRISH",1,3,10,0,0.231,0,1,0
"Injuries Suck",1,2,11,0,0.154,0,0,0
"CAMBRIDGE BOY",1,2,11,0,0.154,0,0,0
"Beats by Ray",7,41,51,0,0.446,0,0,1
"swaggy mc swag",2,8,18,0,0.308,0,0,0
"coles untouchables",3,13,26,0,0.333,0,0,0
"GO CART MOZART",1,0,13,0,0.000,0,0,0
